dataset_name,model_name,seed,k,alpha,beta,lambda_reg,epochs,rmse,mae,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,fidelity_at_2,fidelity_at_3,fidelity_at_5,fidelity_at_10,num_explanation_instances
ml1m,biased_mf,42,,,,,,0.8480931190488988,0.6673194290887914,0.04958425250296962,0.030099278272046982,0.05338552228769073,0.04440862039708129,0.052476956861458236,0.05692219466942356,,,,,
ml1m,plain_nmf,42,,,,,,0.8498072773484391,0.6695615167041772,0.053283556762260306,0.030387319426151308,0.05906708327511719,0.047293398947904304,0.055086246306574056,0.062041455370735,,,,,
ml1m,coupled_nmf_tuned,42,60.0,0.05,0.0001,0.01,20.0,0.8593735189868275,0.6770058004330318,0.05450534532496182,0.030208494885707385,0.059123651342689494,0.045851009672492796,0.05055421539546562,0.05935827546667169,0.0971650065779686,0.13722993156313895,0.20863621782511474,0.3579371539503336,1000.0
ml1m,biased_mf,123,,,,,,0.8503710861248199,0.6677851707543643,0.047234983835290116,0.02641168829899587,0.052696516714517715,0.04308320571720266,0.05006345942303039,0.05626885548167461,,,,,
ml1m,plain_nmf,123,,,,,,0.8507437573818976,0.668811818240201,0.052135443253360565,0.029426835108854812,0.057681540424393433,0.04635017866258296,0.05300987588859563,0.06013969579621107,,,,,
ml1m,coupled_nmf_tuned,123,60.0,0.05,0.0001,0.01,20.0,0.861937345284892,0.6768354351221794,0.05492598264420623,0.029870672132991098,0.06083203006025148,0.046724519312574445,0.05163407809807756,0.06128508143984048,0.09501946026459336,0.13519007226079702,0.20755516274273395,0.3589520675688982,1000.0
ml1m,biased_mf,2026,,,,,,0.8510036321790609,0.6692201997540365,0.04450119169220292,0.025655287452617588,0.04855457541541023,0.040977187606401094,0.04663124305834095,0.05205745083754279,,,,,
ml1m,plain_nmf,2026,,,,,,0.8521182826970619,0.670810957879841,0.05560095335376235,0.03173352482977458,0.06233501028729066,0.04833163091590058,0.054797194785034906,0.0639071337158558,,,,,
ml1m,coupled_nmf_tuned,2026,60.0,0.05,0.0001,0.01,20.0,0.8612763087310044,0.6771989236221556,0.05767790262172285,0.031270548673418996,0.063267591251521,0.04771876064010896,0.05297734260130138,0.06300686408344633,0.09584354986995458,0.13577566687762738,0.2076958422511816,0.3595842816233635,1000.0
