dataset_name,seed,k,alpha,beta,lambda_reg,epochs,rmse,mae,fidelity_at_2,fidelity_at_3,fidelity_at_5,fidelity_at_10,num_explanation_instances,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
ml_latest_small,42,10,0.05,0.0001,0.01,30,0.8391024611993118,0.6419818108810407,0.25458131709694864,0.3685535166859627,0.5797528042197228,1.0000000020861626,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028900469351536253
ml_latest_small,42,10,0.05,0.001,0.01,30,0.8391024596165255,0.6419817433343871,0.2545813052803278,0.3685535197854042,0.5797528191804886,1.0000000007748604,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028900469351536253
ml_latest_small,42,10,0.05,0.005,0.01,30,0.8391024744448214,0.6419815031567805,0.2545812463760376,0.3685534170866013,0.579752699315548,1.0000000011920929,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028900469351536253
ml_latest_small,42,10,0.1,0.0001,0.01,30,0.839102895155378,0.6419862359608277,0.2545819648206234,0.36855431655049326,0.5797546128630638,1.0000000050663949,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028900469351536253
ml_latest_small,42,10,0.1,0.001,0.01,30,0.8391028936518172,0.6419861263910085,0.2545819342434406,0.3685542756915092,0.5797545750141144,1.0000000030994416,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028900469351536253
ml_latest_small,42,10,0.1,0.005,0.01,30,0.8391028947371701,0.6419856620077645,0.25458183738589285,0.36855416229367255,0.5797543932795525,1.0000000060796739,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028900469351536253
ml_latest_small,42,10,0.2,0.0001,0.01,30,0.8391036814096758,0.6419919423865624,0.25458990485966204,0.36856855168938635,0.5797799615263939,1.000000005722046,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028925380611269248
ml_latest_small,42,10,0.2,0.001,0.01,30,0.8391036707423243,0.6419917673985128,0.2545898944437504,0.3685685322582722,0.5797799270153046,1.0000000070929527,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028925380611269248
ml_latest_small,42,10,0.2,0.005,0.01,30,0.839103668934205,0.641991018580532,0.2545828178673983,0.3685554899573326,0.5797571533322334,1.0000000063180923,1000,0.026287744227353464,0.021320902900242213,0.026678168916535204,0.020071047957371226,0.0350613759171362,0.028925380611269248
ml_latest_small,42,20,0.05,0.0001,0.01,30,0.8389185258071348,0.6425846334367054,0.14583639614284039,0.21057477380335332,0.331476256608963,0.5999048835039139,1000,0.018117229129662526,0.011228221769434893,0.017119793581724652,0.019538188277087035,0.024206612598453844,0.021937767515403883
ml_latest_small,42,20,0.05,0.001,0.01,30,0.8389185244191251,0.6425845069098617,0.14583638145774602,0.2105747493058443,0.3314762224853039,0.5999048250317573,1000,0.018117229129662526,0.011228221769434893,0.017119793581724652,0.019538188277087035,0.024206612598453844,0.021937767515403883
ml_latest_small,42,20,0.05,0.005,0.01,30,0.8389184996612753,0.6425839079082478,0.14583633309602737,0.21057468171417712,0.33147610604763034,0.5999046252965927,1000,0.018117229129662526,0.011228221769434893,0.017119793581724652,0.019538188277087035,0.024206612598453844,0.021937767515403883
ml_latest_small,42,20,0.1,0.0001,0.01,30,0.8389174678842087,0.6425935589706052,0.14590569971501827,0.21065330851078035,0.3315543543100357,0.5999313985109329,1000,0.017761989342806393,0.010872981982578765,0.016886747262875017,0.0197158081705151,0.024403968035596135,0.02205030758617346
ml_latest_small,42,20,0.1,0.001,0.01,30,0.8389174604458116,0.64259331631277,0.14590566646307707,0.21065326844155788,0.3315543029606342,0.5999313084483147,1000,0.017761989342806393,0.010872981982578765,0.016886747262875017,0.0197158081705151,0.024403968035596135,0.02205030758617346
ml_latest_small,42,20,0.1,0.005,0.01,30,0.8389174459911342,0.6425922903776063,0.14590553829073907,0.21065309900045395,0.3315540711283684,0.599930916249752,1000,0.017761989342806393,0.010872981982578765,0.016886747262875017,0.0197158081705151,0.024403968035596135,0.02204563008127925
ml_latest_small,42,20,0.2,0.0001,0.01,30,0.8389150798577341,0.6426042888269007,0.14591866441071033,0.21067104370892048,0.33157882261276245,0.5999704257249833,1000,0.017761989342806393,0.010872981982578765,0.016886747262875017,0.0197158081705151,0.024403968035596135,0.02206801601468315
ml_latest_small,42,20,0.2,0.001,0.01,30,0.8389150579425435,0.642603911585876,0.14591861113160848,0.21067096850275993,0.33157871502637865,0.5999702672362328,1000,0.017761989342806393,0.010872981982578765,0.016886747262875017,0.0197158081705151,0.024403968035596135,0.02206801601468315
ml_latest_small,42,20,0.2,0.005,0.01,30,0.8389150514643084,0.6426023208094115,0.14591837826371193,0.21067064292728901,0.3315782698392868,0.5999695994257926,1000,0.017761989342806393,0.010872981982578765,0.016886747262875017,0.0197158081705151,0.024403968035596135,0.02206801601468315
ml_latest_small,42,30,0.05,0.0001,0.01,30,0.8324769454554255,0.6380574141207286,0.10522382196784019,0.15245643673837184,0.2406605608612299,0.43737693643569947,1000,0.019182948490230906,0.010900924613045641,0.01955268338445063,0.01900532859680284,0.023946467819561713,0.022812093174411848
ml_latest_small,42,30,0.05,0.001,0.01,30,0.8324769395494928,0.638057208173796,0.10522381872683763,0.15245643328130246,0.24066055870056152,0.437376929461956,1000,0.019182948490230906,0.010900924613045641,0.01955268338445063,0.01900532859680284,0.023946467819561713,0.022812093174411848
ml_latest_small,42,30,0.05,0.005,0.01,30,0.8324769968297066,0.6380563683613257,0.1052237915918231,0.15245639941096306,0.240660510212183,0.4373768527805805,1000,0.019182948490230906,0.010900924613045641,0.01955268338445063,0.01900532859680284,0.023946467819561713,0.022812093174411848
ml_latest_small,42,30,0.1,0.0001,0.01,30,0.8324736757803656,0.6380699047810809,0.10528614170104265,0.15254440063983202,0.24076589533686638,0.4374975561201572,1000,0.019182948490230906,0.010900924613045641,0.01955268338445063,0.019182948490230906,0.024143823256704007,0.022932774170714317
ml_latest_small,42,30,0.1,0.001,0.01,30,0.8324737070818246,0.6380695718499575,0.10528611711412668,0.15254437374323607,0.24076586066186428,0.4374975231587887,1000,0.019182948490230906,0.010900924613045641,0.01955268338445063,0.019182948490230906,0.024143823256704007,0.022932774170714317
ml_latest_small,42,30,0.1,0.005,0.01,30,0.8324737990898567,0.638068082235161,0.10524774717539549,0.15248673771321775,0.24069085557758807,0.4374052136540413,1000,0.019182948490230906,0.010900924613045641,0.01955268338445063,0.019182948490230906,0.024143823256704007,0.022932774170714317
ml_latest_small,42,30,0.2,0.0001,0.01,30,0.8324679885854,0.6380851058036824,0.10532019303739071,0.15258752922713756,0.2408308275640011,0.4376043386757374,1000,0.019182948490230906,0.01114515196650923,0.01955268338445063,0.019182948490230906,0.024143823256704007,0.02293925538945304
ml_latest_small,42,30,0.2,0.001,0.01,30,0.8324680311299258,0.6380845747357082,0.10532019411772489,0.15258753563463687,0.24083084723353385,0.43760434541106225,1000,0.019182948490230906,0.01114515196650923,0.01955268338445063,0.019182948490230906,0.024143823256704007,0.02293925538945304
ml_latest_small,42,30,0.2,0.005,0.01,30,0.8324681555222087,0.6380822510780514,0.10532013773918152,0.15258747136592865,0.24083074313402175,0.4376041732728481,1000,0.019182948490230906,0.01114515196650923,0.01955268338445063,0.019182948490230906,0.024143823256704007,0.02293925538945304
ml_latest_small,42,40,0.05,0.0001,0.01,30,0.8313118809119727,0.6364541993620333,0.08726718249544502,0.12631742314249278,0.1992401318103075,0.36238543927669525,1000,0.027353463587921848,0.01892905551454163,0.02986902938408962,0.0261101243339254,0.03737584328374286,0.03496559442169343
ml_latest_small,42,40,0.05,0.001,0.01,30,0.8313118474274127,0.6364538908989816,0.08726716849207879,0.1263174003586173,0.19924009373784066,0.36238538756966593,1000,0.027353463587921848,0.01892905551454163,0.02986902938408962,0.0261101243339254,0.03737584328374286,0.03496559442169343
ml_latest_small,42,40,0.05,0.005,0.01,30,0.8313117077246851,0.6364525296052367,0.0872670787088573,0.12631727372854948,0.1992398882806301,0.362385112285614,1000,0.027353463587921848,0.01892905551454163,0.02986902938408962,0.0261101243339254,0.03737584328374286,0.03496559442169343
ml_latest_small,42,40,0.1,0.0001,0.01,30,0.8313126618683963,0.6364750629578154,0.08730899358540774,0.126373141951859,0.19932221627235414,0.36251814529299736,1000,0.027353463587921848,0.01892905551454163,0.02986902938408962,0.026287744227353464,0.037537315914132015,0.03508558285572813
ml_latest_small,42,40,0.1,0.001,0.01,30,0.8313126014128606,0.636474511678616,0.08730896817147732,0.1263731059283018,0.1993221507370472,0.36251804742217064,1000,0.027353463587921848,0.01892905551454163,0.02986902938408962,0.026287744227353464,0.037537315914132015,0.03508558285572813
ml_latest_small,42,40,0.1,0.005,0.01,30,0.8313123394054556,0.6364721298499217,0.08730878819525242,0.12637284431606532,0.1993217312246561,0.3625174643099308,1000,0.027353463587921848,0.01892905551454163,0.02986902938408962,0.026287744227353464,0.037537315914132015,0.03508558285572813
ml_latest_small,42,40,0.2,0.0001,0.01,30,0.8313128435510874,0.6365011090178291,0.08736540023982525,0.1264494625404477,0.19943306505680083,0.3626737731099129,1000,0.028063943161634106,0.02017239476853808,0.030565147577829837,0.0261101243339254,0.03718207612727588,0.03499736790701533
ml_latest_small,42,40,0.2,0.001,0.01,30,0.83131274205219,0.63650024299585,0.08736532560363412,0.12644935762137174,0.19943290875852107,0.3626735616326332,1000,0.028063943161634106,0.02017239476853808,0.030565147577829837,0.0261101243339254,0.03718207612727588,0.03499736790701533
ml_latest_small,42,40,0.2,0.005,0.01,30,0.8313123299395649,0.6364965300231411,0.08735764002427458,0.1264379082620144,0.1994196226000786,0.3626533991098404,1000,0.028063943161634106,0.02017239476853808,0.030565147577829837,0.0261101243339254,0.03718207612727588,0.03499736790701533
