dataset_name,seed,k,alpha,beta,lambda_reg,epochs,rmse,mae,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,fidelity_at_2,fidelity_at_3,fidelity_at_5,fidelity_at_10,num_explanation_instances
ml1m,42,30,0.0,0.0,0.01,20,0.8670775875087662,0.682152053771782,0.0480599046970728,0.0244903669396123,0.0505901133216312,0.042290673927842,0.043959539008158,0.0519983313471735,0.1521710109636187,0.2153443289771676,0.3264988311082125,0.5514773239791393,1000
ml1m,42,30,0.0,0.0001,0.01,20,0.8670775875087662,0.682152053771782,0.0480599046970728,0.0244903669396123,0.0505901133216312,0.042290673927842,0.043959539008158,0.0519983313471735,0.1521710109636187,0.2153443289771676,0.3264988311082125,0.5514773239791393,1000
ml1m,42,30,0.001,0.0,0.01,20,0.8670776091387761,0.6821524033694598,0.0480599046970728,0.0244903669396123,0.0505901133216312,0.042290673927842,0.043959539008158,0.0519998573933005,0.1521709820479154,0.2153443023785948,0.326498846501112,0.5514773880243301,1000
ml1m,42,30,0.001,0.0001,0.01,20,0.8670776088934826,0.6821524017627024,0.0480599046970728,0.0244903669396123,0.0505901133216312,0.042290673927842,0.043959539008158,0.0519998573933005,0.1521709875687956,0.2153443080708384,0.3264988509863615,0.5514773970842362,1000
ml1m,42,30,0.005,0.0,0.01,20,0.8670776927560242,0.6821537863074921,0.0480599046970728,0.0244903669396123,0.0505901133216312,0.0423076923076923,0.0439708845947248,0.0520113993758371,0.152170922845602,0.2153442146256566,0.3264988008588552,0.5514773865640163,1000
ml1m,42,30,0.005,0.0001,0.01,20,0.8670776919846097,0.6821537840223127,0.0480599046970728,0.0244903669396123,0.0505901133216312,0.0423076923076923,0.0439708845947248,0.0520113993758371,0.1521709168031811,0.2153442082181572,0.3264987947642803,0.5514773863255977,1000
ml1m,42,30,0.01,0.0,0.01,20,0.8670778038045819,0.6821554577426729,0.0480599046970728,0.0244903669396123,0.0505926428097746,0.0423076923076923,0.0439708845947248,0.0520161424301503,0.1521706690564751,0.2153438830152154,0.3264986214786768,0.55147752186656,1000
ml1m,42,30,0.01,0.0001,0.01,20,0.867077805337343,0.6821554560789809,0.0480599046970728,0.0244903669396123,0.0505926428097746,0.0423076923076923,0.0439708845947248,0.0520161424301503,0.1521706743538379,0.2153438900113105,0.3264986329823732,0.5514775212705135,1000
ml1m,42,30,0.05,0.0,0.01,20,0.8670785426438516,0.6821671967041102,0.0480599046970728,0.0244829923083439,0.0506185622117067,0.0423927842069435,0.0440303459145566,0.0521041326448378,0.1521959834620356,0.2153716550469398,0.3265359818935394,0.5515384635925293,1000
ml1m,42,30,0.05,0.0001,0.01,20,0.867078544545007,0.682167186775896,0.0480599046970728,0.0244829923083439,0.0506185622117067,0.0423927842069435,0.0440303459145566,0.0521041326448378,0.1521959911957383,0.2153716671466827,0.3265359971225262,0.5515384764671326,1000
