dataset_name,seed,k,alpha,beta,lambda_reg,epochs,rmse,mae,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
ml_latest_small,42,20,0.0,0.0,0.01,20,0.8466484901707314,0.6479104038394445,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.015452930728241564,0.02040404686677297,0.016972930650596272
ml_latest_small,42,20,0.0,0.0001,0.01,20,0.8466484901707314,0.6479104038394445,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.015452930728241564,0.02040404686677297,0.016972930650596272
ml_latest_small,42,20,0.01,0.0,0.01,20,0.8466488220567847,0.6479135308449329,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.015452930728241564,0.02040404686677297,0.016981654657364734
ml_latest_small,42,20,0.01,0.0001,0.01,20,0.8466488247586421,0.6479135312670994,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.015452930728241564,0.02040404686677297,0.016981654657364734
ml_latest_small,42,20,0.05,0.0,0.01,20,0.8466500832146796,0.6479250343918571,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.015452930728241564,0.02040404686677297,0.016981654657364734
ml_latest_small,42,20,0.05,0.0001,0.01,20,0.8466500774793425,0.6479250192994017,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.015452930728241564,0.02040404686677297,0.016981654657364734
ml_latest_small,42,20,0.1,0.0,0.01,20,0.8466514510789568,0.6479373821488204,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.01580817051509769,0.02129214633391329,0.017403859737009687
ml_latest_small,42,20,0.1,0.0001,0.01,20,0.8466514497424132,0.6479373631865045,0.010657193605683837,0.005638939810505966,0.010407049857941086,0.01580817051509769,0.02129214633391329,0.017403859737009687
ml_latest_small,42,30,0.0,0.0,0.01,20,0.843937439703323,0.6470802269696803,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011545293072824156,0.0153599771839462,0.01355965314620179
ml_latest_small,42,30,0.0,0.0001,0.01,20,0.843937439703323,0.6470802269696803,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011545293072824156,0.0153599771839462,0.01355965314620179
ml_latest_small,42,30,0.01,0.0,0.01,20,0.8439379988114213,0.6470843607545234,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011545293072824156,0.0153599771839462,0.01355965314620179
ml_latest_small,42,30,0.01,0.0001,0.01,20,0.84393799742936,0.6470843549849133,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011545293072824156,0.0153599771839462,0.01355965314620179
ml_latest_small,42,30,0.05,0.0,0.01,20,0.8439400558926089,0.6470995834483427,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011545293072824156,0.0153599771839462,0.013544759209213065
ml_latest_small,42,30,0.05,0.0001,0.01,20,0.8439400566146341,0.6470995692705817,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011545293072824156,0.0153599771839462,0.013544759209213065
ml_latest_small,42,30,0.1,0.0,0.01,20,0.8439422759641433,0.6471159977249398,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011545293072824156,0.0153599771839462,0.013544759209213065
ml_latest_small,42,30,0.1,0.0001,0.01,20,0.8439422671851364,0.6471159646728142,0.012433392539964476,0.008450142983822163,0.011705144335193094,0.011722912966252219,0.015448787130660231,0.013657762385410138
ml_latest_small,42,40,0.0,0.0,0.01,20,0.842873883534098,0.6468090885980512,0.02522202486678508,0.02083677178031647,0.030395345004773797,0.020959147424511545,0.03293579872733691,0.03253467930378798
ml_latest_small,42,40,0.0,0.0001,0.01,20,0.842873883534098,0.6468090885980512,0.02522202486678508,0.02083677178031647,0.030395345004773797,0.020959147424511545,0.03293579872733691,0.03253467930378798
ml_latest_small,42,40,0.01,0.0,0.01,20,0.8428738351846705,0.6468141242714429,0.02522202486678508,0.02083677178031647,0.030395345004773797,0.020959147424511545,0.03293579872733691,0.03253467930378798
ml_latest_small,42,40,0.01,0.0001,0.01,20,0.8428738334839766,0.6468141177278608,0.02522202486678508,0.02083677178031647,0.030395345004773797,0.020959147424511545,0.03293579872733691,0.03253467930378798
ml_latest_small,42,40,0.05,0.0,0.01,20,0.8428736839576049,0.6468327959959039,0.02557726465364121,0.020925581727030504,0.030628391323623425,0.020959147424511545,0.03293579872733691,0.03256530751736444
ml_latest_small,42,40,0.05,0.0001,0.01,20,0.842873680888784,0.6468327784056296,0.02557726465364121,0.020925581727030504,0.030628391323623425,0.020959147424511545,0.03293579872733691,0.03256530751736444
ml_latest_small,42,40,0.1,0.0,0.01,20,0.842873475852669,0.6468530130083799,0.02557726465364121,0.020925581727030504,0.030549517145829957,0.02113676731793961,0.03302460867405094,0.03262413865095172
ml_latest_small,42,40,0.1,0.0001,0.01,20,0.8428734677935266,0.646852974028332,0.02557726465364121,0.020925581727030504,0.030549517145829957,0.02113676731793961,0.03302460867405094,0.03262413865095172
