dataset_name,model_name,seed,rmse,mae,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,k,alpha,beta,lambda_reg,epochs
ml_latest_small,item_cf,42,0.8972280722237995,0.6895340801532018,0.0084063047285464,0.0064826948087891,0.0089316544184474,0.0070052539404553,0.0089294988317752,0.0096139425783258,,,,,
ml_latest_small,biased_mf,42,0.8282258723105541,0.6326299379199201,0.026970227670753,0.0195896412226139,0.0276442350949292,0.0278458844133099,0.040242212956037,0.0349110158722416,,,,,
ml_latest_small,plain_nmf,42,0.8357374847819563,0.6421413067191717,0.0227670753064798,0.0160115823064421,0.0241539970676106,0.0206654991243432,0.0300876641660003,0.0271746142510413,,,,,
ml_latest_small,item_cf,123,0.8974628278986829,0.6924205651464986,0.0074074074074074,0.0042710204047929,0.0073807196502759,0.0081128747795414,0.0097764628769431,0.0095194459291968,,,,,
ml_latest_small,biased_mf,123,0.8187647790901884,0.6253444515978989,0.0331569664902998,0.0249512348046592,0.0335079065130825,0.0250440917107583,0.0398024266558961,0.0346755422746,,,,,
ml_latest_small,plain_nmf,123,0.8302218852507448,0.6385521397283679,0.0257495590828924,0.0198054979117234,0.0265933702292992,0.0253968253968253,0.0358487438388982,0.0312452356567412,,,,,
ml_latest_small,item_cf,2026,0.8881570773110361,0.6848620089252583,0.0059964726631393,0.0048870978648445,0.0067729137040463,0.0075837742504409,0.0107985852726868,0.0097152132697807,,,,,
ml_latest_small,biased_mf,2026,0.8262292328303101,0.6316789471002833,0.0313932980599647,0.0267870345162355,0.0364974933641484,0.0264550264550264,0.0486245924846476,0.0418894321670769,,,,,
ml_latest_small,plain_nmf,2026,0.8401666040444679,0.646904208988109,0.0313932980599647,0.0288325571343319,0.0360297905035848,0.0232804232804232,0.0400341921253849,0.0371303336915094,,,,,
ml_latest_small,item_cf,7,0.8937470778540814,0.6838559975716679,0.0057040998217468,0.0028370567874604,0.0053772466489918,0.0073083778966131,0.0071512862995734,0.0075504965156627,,,,,
ml_latest_small,biased_mf,7,0.8218871297091944,0.6234518268541474,0.0245989304812834,0.0166644442336825,0.0250445479741773,0.0253119429590017,0.0415469991871274,0.033591388915001,,,,,
ml_latest_small,plain_nmf,7,0.8301774647421074,0.6323645012754332,0.027807486631016,0.0236212434485379,0.0288554923621083,0.0245989304812834,0.0412800701158553,0.0334492099595853,,,,,
ml_latest_small,item_cf,99,0.8944257561074678,0.686503426102072,0.0072916666666666,0.0052475361825602,0.0082632672191687,0.0095486111111111,0.0124790341241699,0.0115378950960842,,,,,
ml_latest_small,biased_mf,99,0.8245585119346308,0.626361684719301,0.0291666666666666,0.0251321519931068,0.0341610100583013,0.0282986111111111,0.0474278214459951,0.0411079737410845,,,,,
ml_latest_small,plain_nmf,99,0.8331546184996478,0.6365233101542034,0.0204861111111111,0.0106059897253942,0.0208523805789037,0.0178819444444444,0.019244144916522,0.0220484512156218,,,,,
ml_latest_small,coupled_nmf,42,0.834438169659221,0.6398821941268648,0.026619964973730297,0.018808610907191423,0.0292948504745243,0.021891418563922942,0.03345276086012559,0.031393084600982286,40.0,0.1,0.0001,0.01,30.0
ml_latest_small,coupled_nmf,123,0.8320823282073229,0.6401060572762408,0.028924162257495587,0.02220663925083176,0.02792874905602977,0.026278659611992942,0.039849877257504995,0.032797996032202945,40.0,0.1,0.0001,0.01,30.0
ml_latest_small,coupled_nmf,2026,0.8379078676788474,0.6415477983657926,0.022222222222222223,0.01934740646148549,0.022888310027667308,0.020282186948853614,0.0333457406237319,0.027326428156704195,40.0,0.1,0.0001,0.01,30.0
ml_latest_small,coupled_nmf,7,0.832570792651141,0.6336967572526045,0.024242424242424246,0.0197907673112135,0.023487651841354124,0.02531194295900178,0.039101655940309295,0.03075426744496633,40.0,0.1,0.0001,0.01,30.0
ml_latest_small,coupled_nmf,99,0.8328541235448003,0.6342061827948065,0.02604166666666667,0.022337322301952248,0.03141627502600033,0.021701388888888888,0.03481066871180391,0.03366269823848519,40.0,0.1,0.0001,0.01,30.0
