metric,mean,std,min,q25,median,q75,max
fidelity_at_2,0.08730899358540774,0.0228351718603254,0.06173770874738693,0.07096987217664719,0.07898136973381042,0.09806463681161404,0.21932440996170044
fidelity_at_3,0.126373141951859,0.030622243938207797,0.09153027832508087,0.10429401509463787,0.11566384881734848,0.14128491654992104,0.31297045946121216
fidelity_at_5,0.19932221627235414,0.041943914825436655,0.14871664345264435,0.168068028986454,0.185444638133049,0.2208147943019867,0.4215087592601776
fidelity_at_10,0.36251814529299736,0.05966887866841308,0.2875427007675171,0.3166305646300316,0.34334154427051544,0.3963428661227226,0.6410602927207947
